Old Column Name,Final Column Name
MrImpd_n_2,MRR (Ohm)
TdPRd_n_2,RdTdP (mW)
TdPWr_n_2,WrTdP (mW)
HtrOhmRd_n_2,HtrRd (Ohm)
HtrOhmWr_n_2,HtrWr (Ohm)
WEW_n_2,WEW (uin)
WeMWW_n_2,MWW (uin)
uMRW_n_2,uMRW (uin)
WEWMT10_n_2,MT10 (uin)
STpCS_n_2,TCS (uin)
WDpara_TAA1_a_2,MF_TAA (mV)
WDpara_TAA2_a_2,LF_TAA (mV)
TaaAsym_n_2,TAA_Asym (%)
RevOwr_n_2,ReOW (dB)
Wdpara_OW2_n_2,HFOW (dB)
WDpara_Squash_n_2,Squash
STMWWMF_n_2,ShMWW (uin)
STWSSNR3_n_2,WSSNR (dB)
STBtEm3_n_2,EM (dB)
STWSSNR_n_2,ShSNR (dB)
STBtEM_n_2,ShEM (dB)
ShOTRC_a_2,ShOTRC (%)
STARTtMf_n_2,AOR (dB)
STShOW_n_2,STShOW (dB)
Delta WSsnr(CMR-SMR)_n_2,CMR-SMR_SNR (dB)
